benchmark,control,n_levels,baseline_runtime_s,baseline_board_J,verdict,best_dE_pct,worst_dt_pct,curve_pairs
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,2,14.45614554,46174.0,NEGLIGIBLE,0.004331441937011071,0.02694691326412535,rb_half:dE=0.0%/dt=-0.1% | rb_double:dE=0.1%/dt=+0.0%
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,7,14.44752902,46242.5,USEFUL_THRESHOLD,-34.23041574309348,0.20397460326402328,lit_1_0GHz:dE=-34.2%/dt=-0.1% | lit_1_2GHz:dE=-27.9%/dt=-0.0% | lit_1_6GHz:dE=-20.1%/dt=-0.0% | lit_2_0GHz:dE=-8.7%/dt=+0.2% | lit_2_5GHz:dE=-4.9%/dt=-0.0% | lit_3_0GHz:dE=-1.8%/dt=-0.1% | lit_3_5GHz:dE=-0.0%/dt=+0.1%
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,8,14.450933215,46177.5,USEFUL_LINEAR,-8.652482269503547,0.008162414028567433,tdp_100:dE=-0.3%/dt=-0.2% | tdp_90:dE=-0.0%/dt=-0.1% | tdp_80:dE=-0.3%/dt=-0.1% | tdp_70:dE=-1.0%/dt=-0.1% | tdp_60:dE=-2.2%/dt=-0.2% | tdp_50:dE=-8.7%/dt=-0.0% | tdp_40:dE=?/dt=-0.1% | tdp_30:dE=?/dt=+0.0%
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,2,14.476755395000001,46175.5,NEGLIGIBLE,-0.137518814089721,-0.32145911656470405,rb_half:dE=-0.1%/dt=-0.3% | rb_double:dE=0.0%/dt=-0.3%
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,5,14.449007235,46066.0,USEFUL_THRESHOLD,-5.182781226935262,-0.020229071468103044,lit_0_8GHz:dE=-5.2%/dt=-0.0% | lit_1_2GHz:dE=-3.9%/dt=-0.2% | lit_1_6GHz:dE=-3.0%/dt=-0.2% | lit_2_0GHz:dE=-1.4%/dt=-0.2% | lit_2_3GHz:dE=0.0%/dt=-0.2%
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,8,14.438645834999999,46323.5,NEGLIGIBLE,-0.5008257148099826,-0.015517521695618264,rb_100:dE=-0.5%/dt=-0.0% | rb_90:dE=-0.4%/dt=-0.1% | rb_80:dE=-0.3%/dt=-0.1% | rb_70:dE=-0.3%/dt=-0.0% | rb_60:dE=-0.3%/dt=-0.0% | rb_50:dE=-0.2%/dt=-0.0% | rb_40:dE=-0.3%/dt=-0.0% | rb_30:dE=-0.3%/dt=-0.1%
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,7,14.43802058,46140.0,HARMFUL,0.16146510619852172,209.70972400428596,lit_0_4GHz:dE=97.6%/dt=+209.7% | lit_0_6GHz:dE=49.4%/dt=+113.1% | lit_0_8GHz:dE=27.2%/dt=+66.0% | lit_1_0GHz:dE=8.9%/dt=+24.9% | lit_1_2GHz:dE=1.1%/dt=+4.6% | lit_1_4GHz:dE=0.2%/dt=+0.1% | lit_1_6GHz:dE=0.3%/dt=+0.2%
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,2,14.451074615,46277.5,NEGLIGIBLE,-0.11560693641619046,0.02702390724593773,rb_half:dE=-0.1%/dt=-0.1% | rb_double:dE=-0.1%/dt=+0.0%
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,7,14.46278001,46189.0,HARMFUL,-1.1918422135140383,28.057972583377477,lit_0_0:dE=1.3%/dt=+1.1% | lit_0_2:dE=1.2%/dt=+1.1% | lit_0_4:dE=-1.2%/dt=-1.3% | lit_0_5:dE=-0.1%/dt=-0.1% | lit_0_6:dE=2.4%/dt=+2.0% | lit_0_8:dE=8.0%/dt=+7.2% | lit_1_0:dE=18.9%/dt=+28.1%
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,8,15.01791176,40427.5,USEFUL_LINEAR,-51.530517593222434,0.06592321328169337,lit_5500W:dE=-1.4%/dt=+0.0% | lit_5000W:dE=-1.3%/dt=+0.0% | lit_4500W:dE=-1.1%/dt=+0.0% | lit_4000W:dE=-1.3%/dt=+0.0% | lit_3500W:dE=-4.2%/dt=+0.0% | lit_3000W:dE=-13.4%/dt=+0.0% | lit_2500W:dE=-25.7%/dt=+0.0% | lit_2000W:dE=-51.5%/dt=+0.1%
