benchmark,combo_label,block,cpu_level,other_level,n,baseline_E_J,cpu_only_dE_pct,other_only_dE_pct,predicted_dE_pct,measured_dE_pct,residual_dE_pct,predicted_dt_pct,measured_dt_pct,residual_dt_pct,status
mpi-idle-wait,B_cpu1.0_gpu1.0,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_0GHz,60,12630,-64.4,-11.0,-75.4,-69.1,+6.3,+0.2,+0.2,-0.0,ok
mpi-idle-wait,B_cpu1.0_gpu1.6,B_cpu_x_gpu_grid,lit_1_0GHz,lit_1_6GHz,60,12630,-64.4,-11.7,-76.1,-68.2,+7.9,+0.2,+0.2,-0.0,ok
mpi-idle-wait,B_cpu2.0_gpu0.4,B_cpu_x_gpu_grid,lit_2_0GHz,lit_0_4GHz,60,12630,-17.2,-11.9,-29.1,-30.5,-1.4,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu2.0_gpu1.0,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_0GHz,60,12630,-17.2,-11.0,-28.2,-28.5,-0.3,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu2.0_gpu1.6,B_cpu_x_gpu_grid,lit_2_0GHz,lit_1_6GHz,60,12630,-17.2,-11.7,-28.9,-26.9,+2.0,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu3.5_gpu0.4,B_cpu_x_gpu_grid,lit_3_5GHz,lit_0_4GHz,60,12630,+0.1,-11.9,-11.9,-15.1,-3.2,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu3.5_gpu1.0,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_0GHz,60,12630,+0.1,-11.0,-10.9,-13.8,-2.9,-0.0,+0.0,+0.0,ok
mpi-idle-wait,B_cpu3.5_gpu1.6,B_cpu_x_gpu_grid,lit_3_5GHz,lit_1_6GHz,60,12630,+0.1,-11.7,-11.6,-11.7,-0.0,-0.0,+0.0,+0.0,ok
mpi-idle-wait,C_cpu1.0_unc0.8,C_cpu_x_uncore_grid,lit_1_0GHz,lit_0_8GHz,150,12630,-64.4,-9.0,-73.4,-63.8,+9.6,+0.2,+0.2,-0.0,ok
mpi-idle-wait,C_cpu1.0_unc1.6,C_cpu_x_uncore_grid,lit_1_0GHz,lit_1_6GHz,150,12630,-64.4,-4.3,-68.7,-64.4,+4.3,+0.2,+0.2,-0.0,ok
mpi-idle-wait,C_cpu1.0_unc2.3,C_cpu_x_uncore_grid,lit_1_0GHz,lit_2_3GHz,150,12630,-64.4,+0.3,-64.1,-64.7,-0.6,+0.2,+0.2,-0.0,ok
mpi-idle-wait,C_cpu2.0_unc0.8,C_cpu_x_uncore_grid,lit_2_0GHz,lit_0_8GHz,148,12630,-17.2,-9.0,-26.2,-26.2,+0.0,+0.0,+0.0,+0.0,ok
mpi-idle-wait,C_cpu2.0_unc1.6,C_cpu_x_uncore_grid,lit_2_0GHz,lit_1_6GHz,122,12630,-17.2,-4.3,-21.5,-21.4,+0.1,-0.0,+0.0,+0.0,ok
mpi-idle-wait,C_cpu2.0_unc2.3,C_cpu_x_uncore_grid,lit_2_0GHz,lit_2_3GHz,100,12630,-17.2,+0.3,-16.9,-17.5,-0.6,-0.0,+0.0,+0.0,ok
mpi-idle-wait,C_cpu3.5_unc0.8,C_cpu_x_uncore_grid,lit_3_5GHz,lit_0_8GHz,91,12630,+0.1,-9.0,-8.9,-9.4,-0.4,+0.0,+0.0,+0.0,ok
