benchmark,knob,level,n,median_runtime_s,median_energy_j,mean_runtime_s,mean_energy_j,std_energy_j
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,23.1979,42735.56,23.5868,43619.13,3506.54
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,23.5088,44331.12,23.5385,44221.01,2926.28
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,50,23.0388,44524.21,23.3139,44839.18,2803.50
cpu-dgemm,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,22.9916,42075.86,23.3256,42829.10,2771.04
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,default,50,23.8371,49384.80,24.1750,50280.22,4154.17
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,23.5480,48791.28,23.9655,49758.00,3811.68
cpu-dgemm,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,23.4149,48578.87,23.7294,49298.09,3260.88
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,default,50,23.2367,48594.66,23.5494,48818.82,3354.69
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,50,23.6020,49047.27,23.8325,49460.71,4201.28
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,50,23.2869,48428.33,23.6596,49042.57,3591.72
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,50,23.2434,48176.42,23.8255,49355.72,4562.13
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,50,23.3369,48345.42,23.8445,49447.89,3892.83
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,50,23.6337,47938.68,23.7743,48444.29,3104.43
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,50,23.3572,45155.06,23.7129,45827.33,3348.42
cpu-dgemm,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,50,23.4308,42425.64,23.7706,42964.82,3096.69
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,default,50,43.4392,146201.61,43.5549,146376.15,1687.75
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_2000W,50,142.3999,265641.50,140.6847,270409.24,63799.59
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_2500W,50,81.0518,169597.30,81.1634,169699.99,5279.75
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_3000W,50,62.3786,150424.22,62.1288,150454.98,1828.85
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_3500W,50,51.4242,144998.48,51.1365,145059.11,1459.18
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_4000W,50,43.2653,144694.97,43.4416,144918.39,1687.30
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_4500W,50,43.2488,144936.23,43.4077,145237.10,1634.22
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_5000W,50,43.2437,145048.53,43.4221,145313.77,1682.32
dgemm-gpu,BOARD_POWER_LIMIT_CONTROL,lit_5500W,50,43.3301,145041.15,43.4387,145331.41,1548.04
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,default,50,43.2498,144796.05,43.4060,145237.21,1607.82
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,50,43.2162,144980.85,43.3948,145195.29,1664.81
dgemm-gpu,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,50,43.2813,144857.49,43.4195,145227.18,1661.08
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,default,50,43.3139,144893.65,43.4503,145369.02,1757.37
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,50,43.3310,124894.71,43.4257,125079.27,1642.25
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,43.3113,127468.24,43.4282,127756.45,1680.41
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,43.2766,131005.37,43.4430,131331.38,1551.21
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,43.2737,140663.93,43.4305,140978.03,1655.47
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_2_5GHz,50,43.3046,142584.99,43.4467,142897.00,1659.70
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_3_0GHz,50,43.3119,143784.00,43.4292,144206.77,1580.48
dgemm-gpu,CPU_FREQUENCY_MAX_CONTROL,lit_3_5GHz,50,43.3017,144890.79,43.4191,145296.24,1692.89
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,default,50,43.2940,144856.64,43.4437,145290.83,1663.22
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_100,50,43.2161,144933.15,43.4006,145216.22,1673.36
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_30,50,43.3334,72366.07,43.4195,72420.59,3469.40
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_40,50,43.2683,72066.00,43.4291,72162.38,3583.09
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_50,50,43.2774,136254.86,43.4131,136167.79,2586.39
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_60,50,43.2805,140843.37,43.4023,141063.01,1728.32
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_70,50,43.2920,143725.80,43.3946,143983.56,1643.87
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_80,50,43.2452,144796.59,43.3959,145213.92,1655.97
dgemm-gpu,CPU_POWER_LIMIT_CONTROL,tdp_90,50,43.2707,144926.68,43.4101,145261.16,1616.53
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,default,50,43.2876,144928.35,43.4558,145319.79,1714.07
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,rb_double,50,43.2219,144801.48,43.3923,145163.34,1702.86
dgemm-gpu,CPU_POWER_TIME_WINDOW_CONTROL,rb_half,50,43.2026,144856.03,43.3818,145178.94,1670.89
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,default,50,43.2452,144768.10,43.4169,144931.72,1801.53
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_0_8GHz,50,43.2262,137810.23,43.3784,138216.73,1550.74
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,50,43.2546,139166.46,43.3820,139505.48,1536.15
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,50,43.2377,140677.40,43.3939,141015.69,1533.91
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_0GHz,50,43.2696,142844.45,43.3794,143083.71,1564.92
dgemm-gpu,CPU_UNCORE_FREQUENCY_MAX_CONTROL,lit_2_3GHz,50,43.2461,144819.26,43.3868,145168.19,1632.99
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,default,50,43.2636,144959.19,43.4038,145287.10,1635.07
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_100,50,43.2716,144826.62,43.4016,145235.74,1712.78
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_30,50,43.2373,144847.37,43.3905,145244.08,1580.32
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_40,50,43.2473,144896.51,43.3817,145210.23,1675.78
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_50,50,43.2354,144922.98,43.3677,145202.04,1637.30
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_60,50,43.2157,144879.31,43.3840,145232.43,1637.76
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_70,50,43.2291,144955.96,43.3765,145241.95,1695.84
dgemm-gpu,DRAM_POWER_LIMIT_CONTROL,rb_80,50,43.2619,144896.22,43.3908,145228.66,1627.62
