benchmark,knob,level,scaling_n,prod_n,scaling_dE_pct,prod_dE_pct,delta_dE_pct,scaling_dt_pct,prod_dt_pct,delta_dt_pct
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,+0.9,+0.1,-0.8,+4.6,+4.6,+0.0
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_4GHz,60,50,+0.1,+0.0,-0.0,+0.1,+0.1,+0.0
dgemm-gpu,GPU_CORE_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,+0.1,+0.0,-0.1,+0.2,+0.0,-0.1
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,-0.0,+0.1,+0.1,+0.0,+0.0,-0.0
dgemm-gpu,GPU_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,-0.0,+0.0,+0.0,-0.1,-0.0,+0.1
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_0,60,50,+1.5,+1.5,-0.0,+1.1,+1.6,+0.5
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_2,60,50,+1.4,+1.5,+0.1,+1.1,+1.6,+0.4
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_4,60,50,-1.3,-0.9,+0.4,-1.3,-1.0,+0.3
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_5,60,50,-0.1,+0.0,+0.1,-0.1,+0.0,+0.2
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_6,60,50,+2.4,+2.2,-0.2,+2.0,+2.3,+0.3
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_0_8,60,50,+8.1,+7.3,-0.8,+7.2,+7.2,-0.0
dgemm-gpu,LEVELZERO::GPU_CORE_PERFORMANCE_FACTOR_CONTROL,lit_1_0,60,50,+18.8,+15.5,-3.4,+28.1,+28.4,+0.3
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_2000W,60,50,-52.9,-42.0,+10.9,+0.1,+0.1,+0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_2500W,60,50,-26.6,-22.4,+4.2,+0.0,+0.0,+0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_3000W,60,50,-14.2,-11.6,+2.6,+0.0,+0.0,+0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_3500W,60,50,-4.3,-3.0,+1.3,+0.0,+0.0,-0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_4000W,60,50,-1.2,-0.0,+1.2,+0.0,+0.0,-0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_4500W,60,50,-1.2,-0.1,+1.1,+0.0,+0.0,-0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_5000W,60,50,-1.2,+0.0,+1.3,+0.0,+0.0,-0.0
gpu-bursty-idle,BOARD_POWER_LIMIT_CONTROL,lit_5500W,60,50,-1.2,-0.0,+1.2,+0.0,+0.0,-0.0
gpu-bursty-idle,BOARD_POWER_TIME_WINDOW_CONTROL,rb_double,60,50,+0.1,+0.0,-0.0,-0.0,-0.0,-0.0
gpu-bursty-idle,BOARD_POWER_TIME_WINDOW_CONTROL,rb_half,60,50,+0.1,-0.0,-0.1,+0.0,+0.0,+0.0
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_0GHz,60,50,-37.0,-18.2,+18.8,+0.2,+0.2,+0.0
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_2GHz,60,50,-30.7,-15.8,+14.9,+0.2,+0.2,+0.0
gpu-bursty-idle,CPU_FREQUENCY_MAX_CONTROL,lit_1_6GHz,60,50,-22.6,-12.8,+9.8,+0.2,+0.2,+0.0
